Pulley Type,Alignment,Belt Tension (N),Belt Width(mm),Lagging Type,Temperature (Environment) C,Temperature (pulley) C,Vibrations (mm/s),Oil Contamination,Foreign Residue,Humidity ,Belt Length(feet),Time since last service(days),Inspection Checks (Cracks),Inspection Checks(Lagging),Number of Grooves,Response
2,1,4406,1400,4,32.72,30,3.3,2,2,0.7,1500,8,1,1,10,1
5,5,11348,1900,4,48.3,64,2.2,4,2,0.9,5000,7,1,2,6,1
2,3,2298,1400,3,43.7,41,3.4,1,3,0.5,5000,10,1,1,6,0
2,5,4057,1400,2,43.72,47,1,1,1,0.7,5000,10,1,2,10,0
3,4,3236,1500,4,42.88,55,1.7,3,4,0.6,8000,39,3,3,12,1
2,6,3650,1500,1,30.96,33,4.4,4,2,0.3,5000,9,1,2,8,1
1,3,1967,1800,3,43.57,54,4.8,1,4,0.8,5000,33,3,3,12,1
5,2,18613,1700,2,40.38,51,4.2,3,3,0.9,1500,36,3,3,8,1
6,2,3623,1500,5,34.19,35,3.5,2,2,0.5,3000,5,1,2,10,0
7,3,12472,1700,2,36.5,36,3.6,4,4,0.5,5000,36,3,3,8,1
6,4,4052,1400,5,37.62,44,3.1,4,1,0.3,3000,26,1,2,8,1
4,5,5140,1500,2,30.26,36,4.2,1,1,0.8,3000,6,1,2,12,1
1,6,12827,1800,4,47.04,59,2.4,2,1,0.7,5000,3,1,1,12,0
5,4,5079,1600,2,48.53,56,2.1,3,4,0.6,8000,38,3,3,8,1
2,1,1518,1100,4,38.77,43,4.6,2,2,0.3,6000,10,2,2,10,1
7,6,16910,1800,5,31.15,31,2.4,4,2,0.4,5000,5,1,1,8,1
5,1,18555,1800,5,49.98,57,3.8,4,3,0.6,5000,33,3,3,8,1
2,6,4633,1600,4,30.29,50,4,1,4,0.8,3000,31,3,3,10,1
7,4,9323,1800,2,36.56,37,2.5,4,3,0.7,1500,40,2,2,10,1
3,6,3127,1400,5,48.91,61,1.7,3,3,0.8,3000,37,3,3,8,0
5,5,8379,1800,4,36.13,49,1.5,1,4,0.7,3000,31,3,3,12,1
7,1,16186,1900,5,34.52,35,1.4,4,3,0.7,1500,17,2,1,12,1
1,6,5969,1900,5,43.66,46,1.5,1,1,0.5,3000,3,2,1,8,0
6,1,4318,1500,3,44.94,43,1.5,4,3,0.6,3000,35,3,3,10,1
7,0,4729,1500,2,37.12,38,1.6,4,2,0.6,3000,3,1,1,10,1
3,6,15100,1700,1,31.83,46,1.6,2,2,0.7,6000,8,1,1,12,0
5,5,15174,1900,4,47.18,70,3.1,4,3,0.7,5000,23,1,1,6,1
5,4,7328,1900,2,42.14,46,1.5,4,3,0.8,3000,35,3,3,6,1
3,3,12253,1700,2,49.7,59,4.5,2,3,0.6,8000,7,1,1,8,1
2,1,2657,1500,4,48.51,68,1.1,4,4,0.9,1500,23,1,2,12,1
5,4,12063,1800,2,36.44,39,3.8,1,2,0.8,1500,6,2,1,12,0
4,6,20382,1800,2,39.13,54,4.6,3,2,0.6,6000,9,2,2,10,0
5,1,18104,1800,4,34.79,33,4.9,2,3,0.5,5000,8,2,2,8,0
1,2,13242,1700,3,30.28,36,2.5,4,4,0.5,8000,25,1,2,10,1
5,4,9250,1800,1,37.48,42,1.1,1,4,0.8,6000,28,1,2,10,1
1,0,19763,1900,4,48.27,62,1.2,1,1,0.6,1500,10,1,2,8,0
7,4,12674,1700,2,31.25,35,1.9,1,4,0.7,1500,29,2,1,8,1
6,0,3735,1400,3,36.41,49,4.2,1,1,0.6,3000,4,2,1,12,0
2,2,3764,1500,1,45.44,55,3.7,2,2,0.6,5000,10,1,1,10,0
1,4,4865,1900,1,32.11,29,1,3,4,0.3,3000,28,2,1,8,1
2,0,2713,1500,1,33.01,49,1.2,3,3,0.8,5000,48,2,4,10,1
6,0,3473,1500,5,49.06,66,4.1,2,4,0.4,3000,9,2,1,8,1
7,6,13033,1900,4,45.32,61,2.9,2,1,0.7,1500,3,1,1,8,1
7,0,1655,1200,3,34.23,40,2.2,4,3,0.5,3000,24,1,1,6,1
2,2,3490,1500,4,49.06,65,4.3,2,3,0.7,3000,7,2,1,10,0
7,6,10241,1700,2,32.5,46,1.4,3,2,0.5,1500,3,1,2,10,0
1,6,6647,1800,5,34.83,28,3.2,1,1,0.4,1500,7,2,1,12,1
6,3,4609,1500,3,38.07,35,2.6,4,2,0.7,3000,6,2,1,6,1
1,5,9405,1900,2,43.42,40,4.4,4,2,0.8,3000,10,2,2,8,1
4,3,21799,1800,2,32.03,50,4,1,1,0.4,5000,8,1,2,6,0
4,3,7233,1700,2,33.99,43,2.9,2,2,0.3,6000,4,2,1,6,0
4,3,15708,1800,2,41.29,43,2.1,4,4,0.3,8000,23,2,1,10,1
7,5,19301,1800,3,37.85,39,4.6,4,2,0.9,5000,7,2,1,10,1
7,4,7315,1700,3,45.47,59,3.1,4,2,0.4,3000,6,1,2,6,1
7,1,1516,1200,5,42.01,46,4.1,1,4,0.8,5000,35,3,3,10,1
3,6,19261,1900,1,38.78,53,2,3,1,0.6,5000,0,2,1,6,0
3,5,8677,1800,4,41.74,49,3.6,3,2,0.5,3000,3,1,2,6,0
5,1,19739,1700,1,43.65,38,1.5,1,3,0.5,1500,10,1,1,12,0
1,0,4981,1600,2,40.58,52,3.4,2,2,0.9,1500,10,2,2,10,1
7,6,16403,1900,4,34.59,44,2.6,1,3,0.4,5000,10,2,1,6,0
1,5,10147,1900,1,35.15,25,4.3,1,3,0.5,1500,10,1,2,6,1
4,6,6505,1700,4,35.68,36,1.5,4,2,0.6,3000,10,2,2,6,1
5,3,5114,1600,3,41.53,41,1.9,3,4,0.3,6000,26,1,2,12,1
5,3,13868,1800,5,48.62,60,2.1,3,3,0.6,6000,31,3,3,6,1
1,1,19778,1900,3,43.55,36,4.6,2,1,0.8,3000,9,1,1,8,0
3,1,17591,1700,2,46.32,61,4.8,3,1,0.3,6000,9,2,2,8,0
2,6,2703,1600,5,38.15,38,1.7,4,3,0.4,3000,27,1,1,6,1
2,5,4076,1600,5,48.69,65,2.1,2,1,0.4,5000,5,1,2,6,0
6,3,2664,1400,4,32.59,42,3,1,1,0.7,3000,9,1,1,10,0
4,6,12793,1700,5,34.71,46,3.2,2,2,0.4,6000,7,1,1,10,0
7,6,15826,1800,5,38.19,47,1.7,3,4,0.3,3000,38,3,3,12,1
6,5,4765,1500,2,45.78,69,3.4,3,2,0.3,3000,7,2,2,8,1
6,5,4772,1400,3,47.77,69,4.7,3,1,0.5,3000,9,1,2,12,0
4,1,15346,1900,1,45.72,57,3.2,4,3,0.7,3000,21,1,1,12,1
7,5,3925,1500,4,39.98,35,1.3,3,1,0.3,1500,8,2,2,8,0
5,6,13389,1700,4,41.92,46,1.6,1,2,0.3,5000,7,1,2,10,0
5,6,14503,1800,2,49.17,57,1.3,1,3,0.8,6000,6,2,1,10,0
6,3,4112,1600,3,42.36,37,3.8,2,3,0.3,3000,3,2,2,6,1
6,1,3498,1500,1,38.54,38,1.2,2,2,0.3,3000,7,1,1,8,1
7,5,11655,1800,1,35.45,32,1.4,3,3,0.6,5000,29,1,2,12,1
6,2,4223,1500,5,35.33,43,5,4,1,0.6,3000,29,2,2,6,1
2,5,2910,1400,1,40.14,37,3.9,3,3,0.5,6000,47,4,3,6,1
3,2,15806,1900,1,37.07,30,4.9,1,2,0.5,8000,4,1,2,10,1
7,2,4560,1400,1,34.36,46,4.4,4,1,0.5,5000,20,1,2,10,1
5,6,9173,1900,3,44.85,38,4.5,3,2,0.8,3000,4,2,1,6,0
2,3,3150,1400,1,44.27,52,3.5,4,3,0.4,1500,32,3,3,8,1
3,1,21755,1900,4,35.25,44,1.3,3,2,0.6,8000,9,1,2,12,1
6,1,3221,1400,3,49.41,65,2.9,3,4,0.3,3000,29,2,1,8,1
7,6,10320,1900,3,46.79,55,1.7,4,2,0.6,1500,3,1,2,6,1
3,5,2642,1400,2,41.14,54,1.3,3,4,0.3,1500,33,3,3,6,1
3,5,12244,1800,5,44.66,43,2.2,3,4,0.7,8000,29,2,2,10,1
4,6,18925,1900,2,46.36,70,4.4,3,1,0.5,1500,5,1,2,12,0
5,5,5093,1500,1,46.85,62,3.8,4,1,0.3,8000,28,1,1,8,1
4,4,5073,1500,2,47.35,65,3.1,2,3,0.7,5000,5,1,1,6,0
4,2,18525,1800,4,44.31,54,4.1,1,4,0.5,1500,21,2,1,6,1
2,1,3412,1400,2,47.21,69,1.5,2,2,0.8,6000,9,2,1,8,1
4,2,20833,1900,3,39.91,49,1.8,1,4,0.3,6000,29,2,2,6,1
7,2,6625,1700,2,44.78,52,4.4,4,3,0.6,1500,38,3,3,6,1
5,4,3738,1500,4,46.19,58,2.2,2,3,0.6,5000,10,2,2,10,0
3,2,21210,1800,1,35.99,45,3.4,2,3,0.3,8000,3,2,1,12,0
7,5,20794,1700,5,30.85,35,3.3,1,2,0.7,3000,6,2,1,8,1
5,4,1575,1100,3,38.7,50,5,2,3,0.3,5000,9,2,1,8,1
1,5,19839,1900,2,49.24,69,1.4,4,2,0.8,1500,9,1,2,10,1
4,4,6992,1800,5,38.03,45,2.9,2,1,0.4,1500,5,1,2,12,0
5,2,13569,1800,1,44.14,35,2.3,4,2,0.6,5000,5,2,2,8,1
3,5,19978,1900,1,44.44,50,3.8,3,2,0.4,3000,7,2,1,8,1
7,3,11337,1900,2,49.1,55,4.8,1,2,0.4,3000,3,2,2,10,0
6,4,4444,1600,1,46.02,64,1.3,1,4,0.8,3000,33,3,3,8,1
2,0,1148,1100,3,35.92,37,2.5,1,4,0.9,6000,25,1,2,6,1
5,1,12063,1900,1,35.53,39,4.3,2,2,0.7,5000,4,2,1,6,0
3,1,15328,1800,5,44.35,45,3.8,1,3,0.6,6000,1,2,1,10,0
6,4,2147,1600,1,33.47,40,3.5,4,4,0.3,3000,34,3,3,6,1
6,5,3819,1400,4,33.04,25,1.7,1,4,0.5,3000,28,2,1,10,1
2,5,5633,1600,4,49.78,60,1.5,2,1,0.5,3000,8,1,1,12,0
7,0,2110,1400,4,43.72,47,1,3,1,0.8,5000,5,2,2,6,1
4,1,4579,1600,5,37.58,25,1.4,1,1,0.9,6000,4,2,2,10,0
7,0,13430,1800,2,35.31,43,4.4,1,1,0.6,3000,5,1,1,6,1
6,3,2792,1500,1,37.98,34,1.5,4,2,0.6,3000,3,1,1,8,1
2,5,4842,1400,2,32.9,28,4.4,2,3,0.7,1500,5,2,1,10,0
7,4,12722,1700,4,44.19,42,1.6,1,3,0.6,3000,2,1,2,12,0
6,5,3775,1500,3,37.36,26,4.2,3,2,0.6,3000,6,2,1,8,0
3,1,11454,1900,5,47.57,64,1.7,3,3,0.4,5000,23,1,1,8,1
7,1,11626,1700,3,40.51,50,1.5,2,3,0.5,1500,6,1,2,6,0
4,3,18219,1700,4,41.67,50,1.7,1,1,0.4,6000,8,1,2,8,0
1,2,2396,1800,2,43.35,44,2.2,3,3,0.7,5000,41,2,1,12,0
6,4,3930,1600,4,36.8,28,3.4,3,4,0.3,3000,23,2,2,12,1
3,3,2146,1600,3,48.57,62,3.6,4,4,0.5,6000,19,2,1,6,1
6,5,3141,1600,4,32.41,38,4.9,4,4,0.4,3000,36,3,3,6,1
7,2,9031,1900,2,42.75,38,3.6,4,1,0.6,3000,35,3,3,6,1
5,4,4573,1400,2,40.57,47,1.1,3,4,0.4,6000,40,4,4,8,1
4,2,2770,1600,3,38.23,53,2.8,4,2,0.4,8000,10,2,1,12,1
5,0,20406,1800,5,43.84,50,4.2,2,1,0.8,8000,9,2,2,10,0
5,0,19315,1700,2,36.04,29,2.4,2,1,0.8,6000,3,2,2,12,0
5,6,19778,1700,5,45.88,63,4.7,3,2,0.5,3000,3,1,1,10,0
2,1,2172,1600,3,31.35,46,4.1,2,4,0.8,1500,7,1,2,12,1
7,5,10803,1800,4,40.78,38,1.9,2,3,0.6,1500,9,2,2,10,1
3,6,9800,1900,3,47.61,69,3.8,4,2,0.9,6000,3,1,1,8,1
6,3,4081,1500,1,46.33,68,1.6,4,4,0.8,3000,30,3,3,8,1
5,2,11008,1800,2,46.65,65,4.8,4,2,0.7,8000,7,1,2,8,1
3,1,20214,1700,4,32.52,38,2.2,1,4,0.6,3000,39,3,3,12,1
7,2,20096,1800,4,48.26,60,1,4,4,0.7,3000,29,1,1,8,1
3,6,6166,1900,5,33.84,50,1.4,3,1,0.4,6000,2,2,2,12,0
2,3,1916,1100,2,44.71,48,1.3,3,2,0.4,5000,3,1,2,10,0
4,6,5526,1400,3,43.39,50,1.8,1,2,0.8,8000,3,1,2,10,0
5,5,12070,1800,2,48.97,60,1.2,1,2,0.7,8000,3,2,2,6,0
3,5,13116,1700,4,41.28,55,4.2,1,1,0.8,1500,8,2,1,10,0
1,2,1851,1100,5,44.61,53,2.4,1,4,0.5,8000,36,3,3,10,1
6,4,3570,1600,1,45.74,56,3.2,1,3,0.4,3000,8,2,1,6,1
5,1,7574,1700,5,47.58,68,1.9,3,2,0.7,5000,5,2,2,10,1
2,5,3960,1500,2,42.62,45,1,3,3,0.7,5000,46,4,1,12,1
5,4,18905,1800,5,39.63,50,1.9,2,1,0.5,6000,7,1,1,6,0
1,6,15951,1900,3,48.88,59,1.5,4,2,0.9,3000,4,1,1,8,1
4,6,9008,1700,3,40.4,44,2.3,2,3,0.7,5000,8,2,2,10,1
5,0,2371,1600,4,37.21,25,4.7,1,1,0.8,5000,1,1,2,10,0
1,0,15227,1800,5,49.02,62,4.7,2,2,0.3,8000,6,1,2,12,0
3,5,10124,1800,5,33.59,50,2.7,2,2,0.5,5000,10,1,2,12,0
5,4,4156,1600,2,42.89,52,1.5,2,2,0.5,5000,4,2,2,6,0
5,4,8131,1800,5,43.63,37,1.9,3,2,0.8,1500,5,1,1,10,1
1,6,7245,1800,2,48.06,64,2.2,3,2,0.7,6000,6,2,1,6,1
7,0,16800,1700,2,42.75,52,1.7,1,4,0.6,3000,37,3,3,10,1
1,3,10063,1800,1,44.09,39,3.9,2,4,0.7,5000,7,1,2,12,1
4,4,4274,1400,5,34.37,38,2,2,1,0.7,6000,6,1,2,12,0
2,5,1590,1200,4,46.48,62,3.4,2,4,0.8,5000,7,2,2,12,1
1,3,12923,1800,4,32.22,45,4,3,1,0.3,5000,9,1,1,12,1
1,1,2337,1500,3,42.86,42,1.3,3,1,0.5,6000,6,2,1,10,0
6,5,4315,1400,5,46.61,70,4.2,2,1,0.3,3000,4,1,2,8,0
2,5,3730,1400,2,49.19,63,4.4,3,4,0.5,1500,40,4,4,8,1
3,6,13021,1900,5,35.04,32,2.4,4,1,0.4,5000,30,3,3,12,1
5,6,10909,1900,5,40.21,47,2.5,2,3,0.6,5000,3,1,1,10,0
2,3,4934,1600,1,47.67,64,4.3,2,3,0.6,1500,8,1,1,10,1
5,2,15362,1900,4,30.96,33,4.5,4,2,0.5,5000,9,2,2,10,1
7,4,12209,1700,1,36.82,27,4.6,4,1,0.6,5000,27,1,1,6,1
4,3,20765,1900,1,48.17,68,2.9,4,1,0.5,3000,34,3,3,12,1
4,1,16467,1800,1,31.79,37,1.3,2,4,0.7,1500,6,1,1,10,1
4,2,14478,1700,5,44.75,49,3.2,3,1,0.8,3000,0,2,1,10,0
2,3,5396,1500,3,31.97,26,1.4,2,1,0.8,3000,9,2,1,10,1
1,0,2595,1600,4,33.15,35,2.5,2,2,0.4,6000,5,1,1,8,0
3,0,6021,1800,5,34.82,25,3.5,2,2,0.8,1500,8,2,1,10,0
4,4,6890,1900,4,30.5,43,2.9,3,2,0.5,6000,7,2,2,10,0
3,3,3877,1500,5,39.76,41,4.5,4,1,0.4,5000,30,3,3,10,1
2,3,5913,1400,3,31.95,31,4.4,1,3,0.8,6000,8,1,2,12,0
3,3,6953,1700,2,32.9,50,3.3,4,1,0.7,5000,40,4,3,6,1
3,5,10030,1700,3,48.86,68,1,2,3,0.7,3000,9,2,2,6,1
6,2,2409,1400,5,44.58,44,1.5,4,1,0.7,3000,24,1,2,10,1
3,5,3626,1600,4,30.12,48,3.3,3,3,0.4,6000,44,3,4,12,1
1,3,19122,1900,4,33.26,35,1.2,3,2,0.4,3000,4,2,1,8,1
7,1,16620,1800,4,38.27,41,2.8,1,1,0.8,5000,5,2,1,12,1
7,2,20554,1800,2,32.8,35,4.4,2,3,0.6,3000,4,2,2,12,1
6,6,2498,1400,5,46.61,66,3.2,4,3,0.4,3000,36,3,3,6,1
7,1,14317,1700,3,49.93,60,1.3,4,3,0.8,3000,30,3,3,8,1
7,3,15598,1900,1,37.47,46,4.7,3,1,0.7,3000,6,2,2,6,0
2,2,4615,1400,3,38.25,39,2.5,3,4,0.6,5000,32,3,3,10,1
4,6,2648,1600,5,30.04,34,3.4,3,4,0.4,3000,25,1,1,12,1
2,2,5751,1400,3,48.61,63,4.1,4,2,0.6,3000,8,2,1,8,1
4,2,3837,1400,3,35.01,39,3.5,2,2,0.8,3000,5,2,1,10,1
3,6,4360,1600,4,45.19,64,4.4,3,3,0.9,6000,46,2,3,8,1
1,1,20128,1700,2,42.83,43,2.4,4,2,0.7,8000,6,1,1,10,1
5,6,14831,1800,4,36.64,39,3.6,2,4,0.7,8000,8,1,2,6,1
6,3,3301,1500,4,38.51,36,3.4,3,4,0.7,3000,21,1,1,6,1
5,3,7666,1700,4,38.06,41,4.1,3,4,0.4,1500,21,1,1,6,1
6,5,2611,1600,5,40.56,48,2.8,3,3,0.8,3000,19,1,1,8,0
6,0,3984,1500,3,38.44,42,2.7,1,4,0.7,3000,16,2,2,6,1
1,5,20712,1800,5,48.84,55,1.3,2,1,0.4,5000,5,1,1,12,0
4,1,18629,1800,5,32.74,30,1.5,2,4,0.7,3000,4,2,2,6,1
7,5,5710,1600,5,45.88,70,3.7,4,3,0.4,1500,18,2,2,6,1
6,5,3974,1400,1,34.3,26,2.4,1,1,0.3,3000,1,1,1,10,0
4,4,20642,1900,4,36.73,48,3.5,1,4,0.8,5000,21,2,1,6,1
5,2,3881,1500,4,35.73,37,4.8,3,4,0.9,3000,16,2,1,10,1
5,1,6248,1800,5,43.26,46,2.4,1,2,0.3,6000,7,1,1,10,0
1,3,12226,1700,1,43.29,45,4.2,1,1,0.5,1500,1,1,1,12,1
2,2,1788,1300,4,39.64,54,2.5,4,2,0.3,5000,3,1,1,8,1
2,1,3101,1500,3,41.31,41,4.3,2,1,0.5,5000,6,2,2,8,0
6,1,4206,1600,2,41.86,40,2.5,2,1,0.9,3000,10,1,1,6,1
6,2,3164,1600,2,39.01,35,1.7,1,2,0.4,3000,5,1,1,10,0
1,6,5709,1400,1,35.85,37,3,1,3,0.4,1500,6,1,1,6,0
2,1,5077,1600,5,47.76,67,3.9,1,1,0.4,5000,2,2,1,6,1
1,4,3728,1600,3,34.8,42,3,4,2,0.6,8000,6,1,2,10,1
2,3,4171,1400,5,31.57,47,2.6,2,2,0.5,5000,10,2,2,10,0
4,4,8319,1900,1,30.13,26,4.3,3,3,0.7,5000,10,2,2,10,0
2,1,3054,1500,3,41.18,51,3.9,2,1,0.3,3000,10,1,2,12,1
5,4,21854,1900,2,32.57,41,2.9,2,4,0.6,8000,8,2,1,8,1
7,5,11196,1800,2,30.47,46,1.2,1,1,0.6,5000,7,1,1,10,0
7,1,9873,1700,3,32.11,46,4.1,4,1,0.5,3000,15,2,1,12,1
1,6,10898,1900,4,44.29,36,1.2,4,1,0.4,8000,31,3,3,6,1
6,0,3714,1500,1,45.05,62,3.1,1,1,0.5,3000,8,1,2,6,1
5,2,2334,1400,1,36.82,45,1.7,2,3,0.7,1500,10,2,2,12,0
1,5,13228,1800,2,48.6,69,3.1,3,1,0.5,8000,5,2,1,12,1
7,0,9754,1800,5,40.2,53,2.3,4,3,0.6,1500,36,3,3,8,1
6,4,4137,1400,4,47.86,66,3.6,1,4,0.5,3000,17,2,1,8,1
4,4,4329,1600,3,36.15,43,1.6,1,1,0.6,8000,9,2,1,8,0
2,5,4733,1500,1,36.33,47,4.4,4,2,0.6,5000,8,1,2,6,1
7,3,19651,1700,5,45.19,56,3.6,2,3,0.3,3000,4,1,1,8,1
1,2,2226,1400,5,30.93,36,3.9,2,4,0.8,6000,10,1,2,10,1
5,5,14786,1800,5,40.41,41,4.4,3,3,0.5,1500,16,2,2,6,0
7,4,18987,1800,5,38.88,53,1.1,3,2,0.7,5000,4,1,2,10,0
7,2,15387,1800,4,48.34,60,1.5,4,1,0.9,1500,36,3,3,6,1
5,0,19732,1700,5,31.76,49,3.6,3,1,0.4,3000,1,1,1,10,0
7,0,16538,1900,5,44.8,46,3.9,2,3,0.7,3000,5,1,1,12,0
2,2,5506,1600,3,32.89,25,1.8,3,4,0.7,6000,40,3,3,6,1
6,2,2456,1400,5,36.71,32,1.4,3,3,0.3,3000,50,3,1,10,0
6,0,2697,1600,5,40.64,50,4.1,3,3,0.9,3000,18,2,2,8,0
1,2,2609,1500,4,35.63,40,3.2,3,3,0.8,6000,48,3,1,10,1
4,5,9888,1700,5,32.35,45,4.5,4,3,0.4,1500,36,3,3,10,1
1,2,2753,1500,2,45.99,68,4.4,1,3,0.8,1500,9,1,1,6,0
6,4,3400,1600,4,43.06,43,4.7,3,4,0.6,3000,30,3,3,8,1
6,0,3139,1600,4,47.34,64,3,1,2,0.4,3000,4,1,2,6,0
6,1,2759,1500,4,39.01,35,2.7,1,4,0.5,3000,38,3,3,12,1
5,4,13897,1900,4,47.55,58,3,3,3,0.8,1500,26,2,2,10,0
5,1,15595,1800,1,46.42,65,3.1,1,1,0.9,6000,9,2,1,12,0
7,2,18094,1800,2,38.06,36,3.5,4,1,0.5,3000,33,3,3,6,1
5,0,21066,1800,5,41.55,41,4.4,2,3,0.7,1500,6,1,2,10,0
7,2,8405,1700,4,49.1,57,4.8,2,4,0.3,1500,6,1,1,10,1
6,6,3183,1600,5,34.64,29,4.3,1,3,0.4,3000,10,2,2,12,0
3,2,19629,1900,4,31.72,35,3,4,2,0.9,6000,7,1,1,8,1
3,6,1947,1200,5,41.08,37,1.2,3,3,0.7,5000,32,3,3,12,0
7,3,19501,1800,4,32.33,36,2.9,2,3,0.6,1500,9,1,1,12,0
1,3,17438,1900,1,31.03,29,3.9,3,2,0.7,8000,7,2,2,10,0
3,5,15135,1900,2,41.64,47,2.4,1,2,0.7,6000,9,1,1,12,0
6,3,4071,1600,5,33.13,41,2,1,1,0.4,3000,7,2,1,12,0
4,1,10107,1800,3,40.67,49,2.2,3,1,0.4,6000,10,2,2,8,0
1,3,3710,1400,3,48.93,58,3.4,1,4,0.5,6000,15,1,2,12,1
5,0,1911,1200,4,45.07,64,3.2,2,3,0.3,6000,10,1,2,8,0
2,3,2629,1600,5,47.12,64,3.3,1,2,0.5,3000,4,2,2,12,0
7,1,15971,1800,4,36.56,29,2.4,2,3,0.6,1500,7,2,1,6,0
4,6,19765,1800,1,38,50,1.3,3,3,0.6,3000,16,2,1,8,0
5,3,4430,1600,4,42.99,47,4.6,1,1,0.4,5000,1,1,1,6,1
4,1,14525,1800,1,49.73,57,1.2,2,4,0.8,8000,5,1,1,6,1
5,0,17614,1800,3,35.54,42,1.2,1,2,0.3,1500,5,2,1,10,0
2,6,5220,1500,3,38.25,40,4.1,3,3,0.7,1500,31,3,3,10,0
1,5,10868,1800,1,35.29,30,1.4,4,3,0.4,5000,37,3,3,12,1
5,6,18690,1900,3,46.78,70,3.6,2,3,0.4,3000,8,1,1,6,1
2,2,3878,1500,4,39.42,39,4.4,2,2,0.8,1500,10,1,1,10,0
6,2,4767,1500,4,45.95,68,1.7,2,3,0.6,3000,4,1,1,10,1
7,5,4513,1400,5,31.76,42,2,3,1,0.3,5000,7,2,1,10,0
2,2,4989,1500,5,49.29,64,4.4,4,4,0.6,3000,19,1,1,12,1
1,1,14319,1800,5,48.99,58,1.1,1,1,0.4,5000,1,2,1,12,0
1,1,11644,1900,3,41.59,36,1.6,2,1,0.6,3000,4,1,1,8,0
6,0,2105,1600,3,41.11,36,3.6,2,4,0.5,3000,6,2,2,8,1
4,4,16901,1700,3,36.57,43,1.6,3,3,0.4,8000,47,3,4,10,1
6,4,3058,1400,1,38.35,44,2.5,3,2,0.6,3000,7,1,1,8,0
7,4,15481,1700,3,41.3,42,3.5,3,4,0.6,1500,23,2,2,12,1
2,5,5613,1500,2,40.33,49,1.4,4,4,0.6,3000,15,2,2,6,1
5,1,20574,1700,5,36.81,49,3.3,4,1,0.5,1500,26,2,1,12,1
1,5,8475,1800,5,49.47,62,4.9,2,1,0.5,1500,3,1,2,12,1
2,6,4571,1600,2,47.84,67,3.6,1,2,0.8,6000,4,2,2,6,0
1,3,1819,1200,3,37.46,49,4.7,1,2,0.5,6000,9,2,2,12,1
3,2,18738,1900,4,37.83,33,4.4,4,2,0.5,3000,8,2,2,6,1
4,2,12544,1900,5,48.47,68,4.9,3,4,0.8,8000,40,1,4,10,1
3,4,19829,1900,3,37.67,26,1.2,2,3,0.6,1500,6,1,2,8,0
7,0,7574,1700,2,48.15,58,2.3,3,2,0.6,5000,8,2,2,10,0
7,4,19262,1700,4,35.27,45,4.6,2,3,0.8,5000,10,1,2,8,0
7,5,17659,1900,5,32.37,43,1.5,3,2,0.6,5000,9,2,1,12,0
1,4,1882,1900,4,43.54,55,4.8,2,2,0.7,3000,4,2,2,8,0
1,5,17186,1800,5,32.29,30,1.4,4,4,0.4,5000,20,2,1,12,1
6,1,3827,1500,2,44.68,38,4,1,1,0.8,3000,2,2,1,8,1
6,6,4700,1500,3,39.83,36,3.2,1,2,0.9,3000,4,2,1,12,1
1,5,17929,1900,2,35.05,39,1.1,3,4,0.9,3000,21,1,2,8,1
4,1,4589,1400,2,49.3,61,3,3,1,0.5,8000,7,2,1,10,0
3,2,19297,1800,1,37.31,33,2.3,2,2,0.6,1500,7,1,2,10,0
5,2,14951,1900,5,41.26,53,1.7,3,2,0.7,6000,8,1,2,12,1
4,0,13898,1800,4,41.69,47,4.4,2,4,0.3,6000,4,1,2,10,1
5,0,2952,1600,4,41.57,35,3.7,2,1,0.5,1500,8,2,1,12,0
1,6,20524,1800,5,40.82,37,3.3,2,1,0.9,5000,7,2,2,12,0
1,3,19610,1900,1,35.17,44,4.2,3,1,0.8,6000,7,1,1,6,1
2,5,3880,1500,2,43.46,45,5,2,3,0.5,1500,9,1,2,6,1
7,1,10002,1900,1,32.86,40,4.4,3,2,0.4,3000,10,1,1,8,0
4,2,5779,1400,5,47.69,63,1.9,4,3,0.7,8000,35,3,3,8,1
6,4,4289,1400,5,43.65,37,1.4,2,3,0.4,3000,6,1,2,12,0
4,4,13176,1900,5,48.58,67,4.7,2,3,0.4,6000,3,2,2,10,0
5,5,4388,1600,4,49.21,68,3.7,1,4,0.7,6000,34,3,3,6,1
5,1,6758,1700,5,44.34,48,3.7,2,2,0.5,8000,7,1,2,6,1
2,0,2973,1500,5,39.6,35,3.5,1,1,0.9,3000,9,2,1,12,0
2,4,3546,1500,3,31.55,28,2.1,3,3,0.4,5000,45,1,3,8,0
6,0,2794,1500,1,47.22,61,2.5,4,2,0.4,3000,4,1,2,12,1
5,3,21660,1800,4,30.31,34,1.6,3,4,0.6,6000,22,1,1,10,1
7,1,4223,1500,3,33.97,47,2.2,2,3,0.6,3000,4,2,1,6,0
6,5,2848,1600,2,49.19,65,2.8,4,4,0.7,3000,37,3,3,10,1
3,0,19054,1700,4,48.7,70,4.2,3,1,0.4,8000,5,2,1,12,1
1,5,3412,1800,5,39.45,52,3.7,2,4,0.8,5000,10,1,1,12,1
3,6,3427,1400,5,45.65,65,2.9,4,4,0.3,1500,21,1,2,10,1
7,0,17547,1800,3,47.8,55,2.2,2,1,0.4,5000,7,2,2,12,0
7,0,3412,1500,2,48.93,55,2.7,2,3,0.6,1500,9,2,2,6,0
7,4,14441,1800,4,37.93,32,4.3,3,4,0.7,1500,36,3,3,8,1
